adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000015615-25-000021	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250228	2025-02-28 06:07:00.0	0	1	mtz-20241231_htm.xml	1	
0000016058-25-000032	16058	CACI INTERNATIONAL INC /DE/	7373	US	VA	RESTON	20190	TWO RESTON OVERLOOK	12021 SUNSET HILLS ROAD	7038417800	US	VA	RESTON	20190	TWO RESTON OVERLOOK	12021 SUNSET HILLS ROAD	US	DE	541345888	CACI INC /DE/	19870119	1-LAF	0	0630	10-Q	20241231	2025	Q2	20250128	2025-01-28 13:06:00.0	0	1	caci-20241231_htm.xml	1	
0000016732-25-000026	16732	CAMPBELL'S CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870	CAMPBELL SOUP CO	19920703	1-LAF	0	0731	10-Q	20250131	2025	Q2	20250305	2025-03-05 07:24:00.0	0	1	cpb-20250126_htm.xml	1	
0000016868-25-000011	16868	CANADIAN NATIONAL RAILWAY CO	4011	CA	QC	CANADA	H3B 2M9	935 DE LA GAUCHETIERE ST W	MONTREAL QUEBEC	5143996569	CA	QC	CANADA H3B 2M9	00000	935 DE LA GAUCHETIERE ST WEST	MONTREAL QUEBEC	CA	QC	980018609				0	1231	6-K	20241231	2024	FY	20250204	2025-02-04 16:13:00.0	0	1	cni-20241231_d2_htm.xml	1	
0000016875-25-000008	16875	CANADIAN PACIFIC KANSAS CITY LTD/CN	4011	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.		403-319-3591	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.				980355078	CANADIAN PACIFIC RAILWAY LTD/CN	19960829	1-LAF	1	1231	10-K	20241231	2024	FY	20250227	2025-02-27 11:25:00.0	0	1	cp-20241231_htm.xml	1	
0000016918-25-000004	16918	CONSTELLATION BRANDS, INC.	2080	US	NY	ROCHESTER	14614	50 EAST BROAD STREET		585-678-7100	US	NY	ROCHESTER	14614	50 EAST BROAD STREET		US	DE	160716709	CONSTELLATION BRANDS INC	20000920	1-LAF	0	0229	10-Q	20241130	2025	Q3	20250110	2025-01-10 14:01:00.0	0	1	stz-20241130_htm.xml	1	
0000017313-25-000012	17313	CAPITAL SOUTHWEST CORP		US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	2142385700	US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	US	TX	751072796			1-LAF	0	0331	10-Q	20241231	2025	Q3	20250204	2025-02-04 16:06:00.0	0	1	cswc-20241231_htm.xml	1	
0000017843-25-000003	17843	CARPENTER TECHNOLOGY CORP	3312	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	6102082000	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	US	DE	230458500			1-LAF	0	0630	10-Q	20241231	2025	Q2	20250130	2025-01-30 16:11:00.0	0	1	crs-20241231_htm.xml	1	
0000018230-25-000008	18230	CATERPILLAR INC	3531	US	TX	IRVING	75039	5205 N. O'CONNOR BOULEVARD	SUITE 100	9728917700	US	TX	IRVING	75039	5205 N. O'CONNOR BOULEVARD	SUITE 100	US	DE	370602744	CATERPILLAR TRACTOR CO	19860623	1-LAF	1	1231	10-K	20241231	2024	FY	20250214	2025-02-14 09:37:00.0	0	1	cat-20241231_htm.xml	1	
0000031791-25-000009	31791	REVVITY, INC.	3826	US	MA	WALTHAM	02451	77 4TH AVENUE		781-663-6900	US	MA	WALTHAM	02451	77 4TH AVENUE		US	MA	042052042	PERKINELMER INC	19991103	1-LAF	1	1231	10-K	20241231	2024	FY	20250225	2025-02-25 16:16:00.0	0	1	revv-20241229_htm.xml	1	
